partido,macrocoalicion
A.R.I,RADICALISMO
A.R.I Autónomo 8 +,RADICALISMO
AL. H. T. E. (Socialista),IZQUIERDA
Acción Chaqueña,PROVINCIALES
Acción Federal,OTROS
Acción por la República,PRO
Adelante Buenos Aires,OTROS
Afirmación Peronista,PERONISMO
Ahora Patria,LLA
Alianza,RADICALISMO
Alianza Acción Chaqueña,PROVINCIALES
Alianza Frente Alternativa Pampeana,PROVINCIALES
Autodeterminación y Libertad,IZQUIERDA
Autonomista de Corrientes,PROVINCIALES
Avanza Libertad,LLA
Avanzar San Luis,PROVINCIALES
BG Juan B. Bustos,PROVINCIALES
Bloque Sin Definir,OTROS
Bloque Social Patagónico,PROVINCIALES
Bloque Unipersonal,OTROS
"Bloque Unipersonal Cultura, Educación y Trabajo",PERONISMO
Bloque de los Trabajadores,IZQUIERDA
Bloque por la Verdad,OTROS
Bloquista de San Juan,PROVINCIALES
Bs. As. para Todos en Proyecto Sur,IZQUIERDA
Buenos Aires,OTROS
Buenos Aires Libre,PRO
Buenos Aires por el Cambio,PRO
Chubut Somos Todos,PROVINCIALES
Coalicion Civica,RADICALISMO
Coalición Cívica - ARI - GEN - UPT,RADICALISMO
Coalición Cívica - ARI - UNEN,RADICALISMO
Coherencia,OTROS
Compromiso Federal,PERONISMO
Compromiso con San Juan,PROVINCIALES
Compromiso para el Cambio,PRO
Concertación Entrerriana,PROVINCIALES
Concertación FORJA,RADICALISMO
Consenso Federal,PERONISMO
Conservador Popular,OTROS
Convergencia,RADICALISMO
Convergencia Federal,PERONISMO
Cordoba Federal,PROVINCIALES
Corriente Grande,PERONISMO
Corriente Peronista Federal,PERONISMO
Corriente de Pensamiento Federal,PERONISMO
Creo,PRO
Cruzada Renovadora,PROVINCIALES
"Cultura, Educación y Trabajo",PERONISMO
Córdoba Trabajo y Producción,PROVINCIALES
De la Concertación,RADICALISMO
Defendamos Cordoba,PROVINCIALES
Defendamos Santa Fe,PROVINCIALES
Del Bicentenario,PERONISMO
Democracia Igualitaria y Participativa,IZQUIERDA
Democracia Para Siempre,RADICALISMO
Democrata,OTROS
Demócrata Cristiano,OTROS
Demócrata Cristiano Federal,OTROS
Demócrata Progresista,RADICALISMO
Demócrata de Capital Federal,PRO
Demócrata de Mendoza,PROVINCIALES
Desarrollista,PRO
Desarrollo y Justicia,PRO
Dignidad Peronista,PERONISMO
Dignidad y Justicia,OTROS
Diálogo por Buenos Aires,IZQUIERDA
Diálogo y Trabajo,PERONISMO
El Chacho,PROVINCIALES
Elijo Catamarca,PROVINCIALES
Emancipación y Justicia,IZQUIERDA
Encuentro,PERONISMO
Encuentro Federal,PERONISMO
Encuentro Popular,IZQUIERDA
Encuentro Popular y Social,IZQUIERDA
Eva Perón,PERONISMO
Evolucion Radical,RADICALISMO
F.F.J. Azul y Blanco,PERONISMO
F.I.S.CA.L,PRO
FREPASO,IZQUIERDA
Fe,PERONISMO
Federal,OTROS
Federal Unidos por una Nueva Argentina,PERONISMO
Frente Cívico - Córdoba,PROVINCIALES
Frente Cívico Social,PROVINCIALES
Frente Cívico Tucumán,PROVINCIALES
Frente Cívico por Santiago,PROVINCIALES
Frente Cívico y Social,PROVINCIALES
Frente Cívico y Social de Catamarca,PROVINCIALES
Frente De Izquierda Y De Trabajadores Unidad,IZQUIERDA
Frente De La Concordia Misionero,PROVINCIALES
Frente De Todos,PERONISMO
Frente Grande,PERONISMO
Frente Justicia Unión y Libertad,PRO
Frente Norte,PROVINCIALES
Frente Nueva Dirigencia,PERONISMO
Frente Partido Nuevo,PROVINCIALES
Frente Peronista,PERONISMO
Frente Peronista Federal,PERONISMO
Frente Polo Social,OTROS
Frente Popular Bonaerense,PERONISMO
Frente Producción y Trabajo,PROVINCIALES
Frente Prog. Civico y Social,RADICALISMO
Frente Progresista Cívico y Social,RADICALISMO
Frente Proyecto Corrientes,PROVINCIALES
Frente Renovador,PERONISMO
Frente Renovador Peronista,PERONISMO
Frente de Unidad Provincial,PROVINCIALES
Frente del Movimiento Popular,PROVINCIALES
Frente para el Cambio,PRO
Frente para la Victoria - PJ,PERONISMO
Frente para la Victoria - Partido Bloqui,PERONISMO
Frente por la Inclusión Social,IZQUIERDA
Frente por los Derechos Ciudadanos,IZQUIERDA
Fte. Cívico y Social de Catamarca,PROVINCIALES
Fte. Renov. de la Conc. Misiones - FPV-PJ,PERONISMO
Fte. de Izquierda y de los Trabajadores,IZQUIERDA
Fuerza Porteña,OTROS
Fuerza Republicana,PROVINCIALES
Fuerzas Del Cielo - Espacio Liberal F.c.e,LLA
Futuro Y Libertad,LLA
GEN,RADICALISMO
Guardia Peronista,PERONISMO
Hacemos Coalicion Federal,PROVINCIALES
Identidad Bonaerense,PERONISMO
Independencia,OTROS
Independiente,OTROS
Innovacion Federal,PROVINCIALES
Interbloque Acción por la Repúbliica,PRO
Intransigente,RADICALISMO
Izquierda Socialista - FIT,IZQUIERDA
Izquierda Socialista - Frente de Izquierda,IZQUIERDA
Izquierda Socialista Fit-unidad,IZQUIERDA
Izquierda Socialista-fit-unidad,IZQUIERDA
Izquierda Unida,IZQUIERDA
Juntos Somos Rio Negro,PROVINCIALES
Juntos por Argentina,PRO
Justicialismo Republicano,PERONISMO
Justicialista,PERONISMO
Justicialista Nacional,PERONISMO
Justicialista por Tucumán,PERONISMO
La Argentina de los Valores,PRO
La Libertad Avanza,LLA
La Neuquinidad,PROVINCIALES
La Union Mendocina,PROVINCIALES
Liberal de Corrientes,PROVINCIALES
Libertad y Democracia,LLA
"Libertad, Valores y Cambios",LLA
Libres del Sur,IZQUIERDA
Liga Del Interior Eli,RADICALISMO
Linea Abierta,OTROS
M.M.T.A.,IZQUIERDA
MO.RE.CI,OTROS
MODIN,OTROS
Memoria y Democracia,RADICALISMO
Mid - Movimiento De Integracion Y Desarrollo,PRO
Mov. Azul y Blanco,PERONISMO
Mov. Integ. y Desarrollo,PRO
Mov. Peronista,PERONISMO
Mov. Soc. Trabajadores,IZQUIERDA
Mov. Social Entrerriano,PROVINCIALES
Mov. de Bases Independientes,OTROS
Movimiento Cívico y Social,OTROS
Movimiento Evita,PERONISMO
Movimiento Independiente,OTROS
Movimiento Nacional Alfonsinista,RADICALISMO
Movimiento Pampa Sur,PROVINCIALES
Movimiento Popular Fueguino,PROVINCIALES
Movimiento Popular Jujeño,PROVINCIALES
Movimiento Popular Neuquino,PROVINCIALES
Movimiento Proyecto Sur,IZQUIERDA
Movimiento Solidario Popular,IZQUIERDA
Movimiento de Renovacion Civica,RADICALISMO
Mst - Frente De Izquierda Y Trabajadores Unidad,IZQUIERDA
Nacional Sindical,PERONISMO
No Integra Bloque,OTROS
Nucleo Unidad Peronista,PERONISMO
Nuevo Encuentro,PERONISMO
Nuevo Encuentro Popular y Solidario,PERONISMO
Nuevo Espacio Entrerriano,PROVINCIALES
Nuevo Espacio Santafesino,PROVINCIALES
P.A.I.S.,OTROS
PTS - Frente de Izquierda,IZQUIERDA
Pais Federal,PROVINCIALES
Part. Prov. San Luis,PROVINCIALES
Participación Ciudadana,OTROS
Participación y Justicia,OTROS
Partido Blanco,OTROS
Partido Bloquista de San Juan,PROVINCIALES
Partido Comunista,IZQUIERDA
Partido Conservador Popular,OTROS
Partido Demócrata Progresista,RADICALISMO
Partido Demócrata por la Capital Federal,PRO
Partido Federal,OTROS
Partido Federal Fueguino,PROVINCIALES
Partido Intransigente,RADICALISMO
Partido Intransigente de Mendoza,RADICALISMO
Partido Justicialista La Pampa,PERONISMO
Partido Liberal de Corrientes,PROVINCIALES
Partido Nuevo,PROVINCIALES
Partido Nuevo Contra la Corrupción,PROVINCIALES
Partido Obrero -frente De Izquierda Y De Trabajadores -unidad,IZQUIERDA
Partido Obrero En El Fte De Izquierda Y De Trabajadores-unidad,IZQUIERDA
Partido Obrero – Frente De Izquierda Y De Trabajadores - Unidad,IZQUIERDA
Partido Obrero-frente De Izquierda Y Trabajadores Unidad,IZQUIERDA
Partido Propuesta Salteña,PROVINCIALES
Partido Socialista,IZQUIERDA
Partido Socialista Popular,IZQUIERDA
Partido Unidad Federalista,PROVINCIALES
Partido de la Concertación - FORJA,RADICALISMO
Partido de la Revolucion Democratica,IZQUIERDA
Partido por la Justicia Social,PERONISMO
Peronismo Federal,PERONISMO
Peronismo Jujeño,PERONISMO
Peronismo Peronista,PERONISMO
Peronismo mas al Sur,PERONISMO
Peronismo para la Victoria,PERONISMO
Peronista,PERONISMO
Peronista Córdoba Ciudadana,PERONISMO
Peronista Federal,PERONISMO
Peronista Salteño,PERONISMO
Politica Abierta,OTROS
Polo Social,OTROS
Por Santa Cruz,PROVINCIALES
Primero Argentina,PRO
Primero San Luis,PROVINCIALES
Primero Tucumán,PROVINCIALES
Pro,PRO
Produccion Y Trabajo,PROVINCIALES
Propuesta Peronista,PERONISMO
Propuesta Republicana,PRO
Protectora,PROVINCIALES
Provincias Unidas,PROVINCIALES
Proyecto Corrientes,PROVINCIALES
Proyecto Progresista,IZQUIERDA
Proyecto Sur,IZQUIERDA
Pts - Frente De Izquierda Y De Trabajadores - Unidad,IZQUIERDA
Pts-frente De Izquierda Unidad,IZQUIERDA
Pts-frente De Izquierda Y De Trabajadores Unidad,IZQUIERDA
Recrear,PRO
Recrear -- Tucumán,PRO
Recrear P\ Crecimiento,PRO
Recrear para el Crecimiento,PRO
Red de Encuentro Social,PERONISMO
Red por Argentina,PERONISMO
Renovador de Salta,PROVINCIALES
Republicano Democrático,PRO
Republicanos Unidos,LLA
Ricardo Balbin,RADICALISMO
SI por la Unidad Popular,IZQUIERDA
SUMA + UNEN,RADICALISMO
Salta Somos Todos,PROVINCIALES
Santa Fe Federal,PROVINCIALES
Santa Fe en Movimiento,PROVINCIALES
Ser - Somos Energia Para Renovar,PROVINCIALES
Soberania Popular,IZQUIERDA
Social Cristiano,OTROS
Socialismo Popular,IZQUIERDA
Socialista,IZQUIERDA
Socialista del MIJD,IZQUIERDA
Solidaridad e Igualdad (SI),IZQUIERDA
Solidaridad e Igualdad (SI) - ARI (T.D.F,IZQUIERDA
Solidaridad e Igualdad (SI) - Proyecto P,IZQUIERDA
Solidario SI,IZQUIERDA
Somos,OTROS
Somos Fueguinos,PROVINCIALES
Somos Mendoza,PROVINCIALES
Somos San Juan,PROVINCIALES
TEST1,OTROS
Todos Juntos por San Juan,PROVINCIALES
Trabajo y Dignidad,PERONISMO
Transformacion,OTROS
Transformacion B.t,OTROS
U. Ce. De.,PRO
U. Socialista,IZQUIERDA
U.B.,OTROS
U.De.So. Salta,RADICALISMO
UNIR,PRO
Ucr,RADICALISMO
Ucr - Union Civica Radical,RADICALISMO
Unidad Bonaerense,PERONISMO
Unidad Federalista,PROVINCIALES
Unidad Justicialista,PERONISMO
Unidad Popular,IZQUIERDA
Unidad para el Desarrollo Social y la Equidad,RADICALISMO
Unidad y Equidad Federal,PROVINCIALES
Unidos,OTROS
Unidos por una Nueva Argentina,PERONISMO
Union Por La Patria,PERONISMO
Unión Celeste y Blanca,PERONISMO
Unión Celeste y Blanco,PERONISMO
Unión Centro Democrático,PRO
Unión Cívica Radical,RADICALISMO
Unión PRO,PRO
Unión Peronista,PERONISMO
Unión por Argentina,PERONISMO
Unión por Córdoba,PROVINCIALES
Unión por Entre Ríos,PROVINCIALES
Unión por San Juan,PROVINCIALES
Unión por Todos,PRO
Valores Republicanos,PRO
Valores para mi País,PRO
Vida y Compromiso,OTROS
